crop,category,n_requirement,p_requirement,k_requirement,nutrient_notes
Alugbati (Malabar spinach),Vegetable - Leafy,high,medium,medium,"{'nitrogen': 'High requirement for rapid leaf growth and foliage development.', 'phosphorus': 'Medium - supports root establishment and nutrient uptake.', 'potassium': 'Medium - improves leaf quality and disease resistance.'}"
Ampalaya (Bitter gourd),Vegetable - Cucurbit,medium,medium,high,"{'nitrogen': 'Medium - supports vine and leaf growth at early stage.', 'phosphorus': 'Medium - critical for root development and flowering.', 'potassium': 'High - essential for fruit formation, flavor, and storage quality.'}"
Atis (Sugar apple),Fruit - Tropical,medium,high,high,"{'nitrogen': 'Medium - supports foliage and young shoots.', 'phosphorus': 'High - critical for flowering and fruit set.', 'potassium': 'High - improves fruit quality, sweetness, and disease resistance.'}"
Avocado,Fruit - Tropical,medium,high,high,"{'nitrogen': 'Medium - supports canopy development without excessive vegetative growth.', 'phosphorus': 'High - essential for root development, flowering, and fruit set.', 'potassium': 'High - critical for fruit quality, oil content, and tree health.'}"
Balimbing (Starfruit),Fruit - Tropical,medium,high,high,"{'nitrogen': 'Medium - supports tree growth and foliage maintenance.', 'phosphorus': 'High - promotes flowering and continuous fruit production.', 'potassium': 'High - essential for fruit quality, acidity balance, and pest resistance.'}"
Saging (Banana),Fruit - Commercial,high,medium,high,"{'nitrogen': 'High - heavy requirement for pseudostem growth and robust leaf canopy development.', 'phosphorus': 'Medium - needed for root development and early fruiting.', 'potassium': 'High - CRITICAL for fruit quality, ripening, disease resistance, and transportability.'}"
Basiliko (Basil),Herb & Spice,high,medium,medium,"{'nitrogen': 'High - promotes leafy biomass and aromatic compound production.', 'phosphorus': 'Medium - supports root system and overall plant vigor.', 'potassium': 'Medium - improves leaf quality and flavor intensity.'}"
Beets,Vegetable - Root/Tuber,medium,high,high,"{'nitrogen': 'Medium - excessive N causes leafy growth over root development.', 'phosphorus': 'High - critical for root bulking and sugar formation.', 'potassium': 'High - improves root size, color intensity, and storage quality.'}"
Black beans,Vegetable - Legume,low,medium,medium,"{'nitrogen': 'Low - legume fixes own nitrogen; excess N reduces nodulation.', 'phosphorus': 'Medium - essential for pod development and seed filling.', 'potassium': 'Medium - supports seed weight and disease resistance.'}"
Rimas (Breadfruit),Fruit - Tropical,medium,medium,high,"{'nitrogen': 'Medium - supports tree growth and leaf development.', 'phosphorus': 'Medium - aids fruiting and reproductive success.', 'potassium': 'High - critical for fruit size, starch content, and disease resistance.'}"
Broccoli,Vegetable - Brassica,high,medium,medium,"{'nitrogen': 'High - essential for head formation and floret development.', 'phosphorus': 'Medium - supports root establishment and flower development.', 'potassium': 'Medium - improves head quality and firmness.'}"
Repolyo (Cabbage),Vegetable - Brassica,high,medium,high,"{'nitrogen': 'High - critical for head formation and size.', 'phosphorus': 'Medium - aids early establishment and root growth.', 'potassium': 'High - improves head density, storage quality, and disease resistance.'}"
Calamansi (Philippine lime),Fruit - Citrus,medium,high,high,"{'nitrogen': 'Medium - maintains tree vigor without promoting excessive foliage.', 'phosphorus': 'High - supports flowering and continuous fruit production.', 'potassium': 'High - essential for fruit quality, acidity, and disease tolerance.'}"
Camote (Sweet potato),Vegetable - Root/Tuber,medium,high,high,"{'nitrogen': 'Medium - supports vine and leaf growth; excess N delays tuber formation.', 'phosphorus': 'High - critical for tuber initiation and enlargement.', 'potassium': 'High - essential for tuber bulking, starch formation, and pest resistance.'}"
Camote tops (Sweet potato tops),Vegetable - Leafy,high,medium,medium,"{'nitrogen': 'High - promotes rapid leaf and tender shoot production.', 'phosphorus': 'Medium - supports nutrient uptake and plant vigor.', 'potassium': 'Medium - improves foliage quality and texture.'}"
Carrot,Vegetable - Root/Tuber,medium,high,high,"{'nitrogen': 'Medium - supports foliage; excess N promotes leafy growth over roots.', 'phosphorus': 'High - critical for root development and sugar formation.', 'potassium': 'High - improves root color, sweetness, and storage quality.'}"
Kasoy (Cashew),Nut,medium,medium,high,"{'nitrogen': 'Medium - supports tree canopy development.', 'phosphorus': 'Medium - aids flowering and nut set.', 'potassium': 'High - improves nut quality, kernel development, and tree health.'}"
Balanghoy (Cassava),Vegetable - Root/Tuber,medium,high,high,"{'nitrogen': 'Medium - supports stem and leaf growth.', 'phosphorus': 'High - essential for root tuber formation and development.', 'potassium': 'High - critical for tuber yield, starch content, and drought tolerance.'}"
