Crop,Category,Soil Type,Planting Period,Yield Per Hectare,Soil_pH_Min,Soil_pH_Max,Days_to_Harvest_Min,Days_to_Harvest_Max
Alugbati,Vegetables,"Sandy loam, Loam, Clay loam",All season,2-4 tons,6.0,7.0,30.0,45.0
Ampalaya,Fruit Vegetables,"Sandy loam, Clay loam",All season,8-15 tons,6.0,6.7,60.0,75.0
Arrowroot,,"Loamy, Silty loam",All season (with uniform rainfall),20-29 tons,5.5,7.0,240.0,360.0
Asparagus,,"Sandy loam, Well-drained",Spring/Year-round,2-3 tons,6.5,7.5,730.0,1095.0
Atis,Fruit Trees,"Sandy loam, Loam",Jun-Sep,5-8 tons,5.5,6.5,60.0,90.0
Avocado,Fruit Trees,"Sandy loam, Clay loam",All season,9.6 tons,6.0,8.0,500.0,720.0
Balanghoy,Root Crops,Sandy loam,May-Aug,15-25 tons,5.5,7.0,270.0,360.0
Balimbing,Fruit Trees,"Sandy loam, Loam",All season,4-6 tons,5.5,6.5,180.0,210.0
Basiliko,Vegetables,"Sandy loam, Loam, Clay loam",All season,1-2 tons,5.5,6.5,40.0,60.0
Bawang,Vegetables,Loam,Oct-Dec,2-3 tons,5.4,6.8,120.0,150.0
Bayabas,Fruit Trees,"Sandy loam, Loam",All season,10-15 tons,5.5,6.5,240.0,300.0
Beets,Root Crops,"Loam, Clay loam",Oct-Mar,15-20 tons,6.5,7.0,60.0,90.0
Bell Pepper,,"Sandy loam, Loam, Clay loam",Oct-Dec (lowland); Year-round (highland),10-14 tons,5.8,6.8,80.0,100.0
Black beans,Vegetables,"Sandy loam, Loam",May-Oct,1.5-2 tons,6.0,7.0,60.0,90.0
Broccoli,Vegetables,"Sandy loam, Loam, Clay loam",Oct-Mar,8-12 tons,6.0,7.2,60.0,90.0
Calamansi,Fruit Trees,"Sandy loam, Clay loam",All season,5-8 tons,5.5,7.5,180.0,240.0
Camote,Root Crops,"Sandy loam, Loam",May-Aug,12-18 tons,5.0,7.0,120.0,180.0
Camote tops,Vegetables,"Sandy loam, Loam",May-Aug,2-3 tons,5.0,7.0,30.0,45.0
Carrot,Root Crops,Sandy loam,Oct-Mar,15-20 tons,5.5,7.0,70.0,90.0
Cauliflower,Vegetables,Loam,Oct-Mar,8-15 tons,5.5,7.5,70.0,100.0
Chayote,Fruit Vegetables,"Clay loam, Silt loam",May-Aug,15-25 tons,6.0,7.5,150.0,180.0
Chico,Fruit Trees,"Sandy loam, Loam",All season,8-12 tons,6.0,7.5,240.0,300.0
Chili Pepper,,"Sandy loam, Loam, Clay loam",Oct-Dec,10-15 tons,5.8,6.8,80.0,100.0
Chives,Vegetables,"Sandy loam, Loam",All season,2-3 tons,6.0,7.0,60.0,90.0
Cilantro,Vegetables,"Loam, Clay loam",All season,1.5-2 tons,5.5,6.7,45.0,60.0
Dragon fruit,Fruits,"Sandy loam, Clay loam",All season,4-15 tons,5.5,6.5,300.0,360.0
Duhat,,"Sandy loam, Clay loam",Year-round,16-15 tons,5.5,7.0,1095.0,1460.0
Durian,Fruit Trees,"Deep loam, Sandy loam",All season,3-5 tons,5.5,6.5,720.0,1080.0
Gabi,Root Crops,"Clay loam, Loam",May-Aug,15-20 tons,6.0,7.0,240.0,270.0
Garbanso,Vegetables,"Sandy loam, Loam",Oct-Mar,1.5-2 tons,6.0,7.5,120.0,150.0
Garlic,,"Sandy loam, Silt loam, Clay loam",Oct-Nov to Dec,4.9-9.3 tons,5.4,6.8,,
Gisantes,Vegetables,"Silt loam, Clay loam",Oct-Jan,1.5-2.5 tons,6.0,7.5,60.0,70.0
Gotocola,Vegetables,"Sandy loam, Loam",All season,2-3 tons,5.5,7.0,45.0,60.0
Guyabano,Fruit Trees,"Sandy loam, Clay loam",All season,12-20 tons,5.5,7.0,270.0,360.0
Habitchuelas,Vegetables,Sandy loam,May-Oct,2-4 tons,5.5,6.5,50.0,60.0
Kamansi,Fruit Trees,"Deep loam, Sandy clay loam",All season,5-8 tons,6.0,7.0,180.0,270.0
Kamatis,Fruit Vegetables,"Sandy loam, Loam",Jan-May,20-30 tons,4.5,6.5,55.0,90.0
Kamias,Fruit Trees,"Sandy loam, Clay loam",All season,5-10 tons,5.5,7.0,360.0,720.0
Kangkong,Vegetables,Sandy loam,All season,3-5 tons,5.5,7.0,30.0,45.0
Kasoy,Fruit Trees,"Sandy loam, Clay loam",All season,2-3 tons,5.5,7.0,720.0,1080.0
Kentucky beans,Vegetables,"Sandy loam, Loam",May-Aug,1.5-2.5 tons,5.5,6.5,60.0,90.0
Kidney beans,Vegetables,"Loam, Clay loam",May-Aug,1-2 tons,6.0,7.0,90.0,120.0
Kulitis,Vegetables,"Loam, Clay loam",All season,2-3 tons,6.0,6.5,30.0,45.0
Lada,Root Crops,Loam,April-Jun,15-20 tons,5.5,6.5,240.0,270.0
Langka,Fruit Trees,"Sandy loam, Clay loam",All season,12-20 tons,5.5,6.5,240.0,360.0
Lanzones,Fruit Trees,"Deep loam, Sandy loam",July-Sep,4-8 tons,5.5,6.5,240.0,300.0
Leeks,,Sandy loam with humus,Cool season,12-40 tons,6.5,7.0,150.0,200.0
Letsugas,Vegetables,"Silt loam, Loam, Clay loam",Oct-Mar,12-18 tons,5.5,7.0,40.0,60.0
Luyang dilaw,Root Crops,"Loam, Clay loam",April-Jun,8-10 tons,5.5,7.5,240.0,300.0
Mais,Corn,"Silt loam, Loam",April-Jun,2-4 tons,6.0,8.0,90.0,120.0
Makopa,Fruit Trees,"Sandy loam, Loam",All season,6-10 tons,5.5,7.0,180.0,240.0
Mandarin,Fruit Trees,"Sandy loam, Clay loam",All season,8-12 tons,5.5,8.0,240.0,300.0
Mango,Fruit Trees,Loam,May-Sep,10-20 tons,5.5,7.5,150.0,180.0
Mangosteen,Fruit Trees,"Deep clay loam, Loam",July-Sep,8-12 tons,5.0,6.5,360.0,480.0
Mani,Vegetables,Sandy loam,May-Oct,1.5-2.5 tons,6.0,7.0,90.0,110.0
Marang,Fruit Trees,"Deep loam, Sandy clay loam",All season,5-8 tons,6.0,7.0,180.0,270.0
Melon,Fruits,"Sandy loam, Loam",April-Aug,12-18 tons,5.5,6.5,80.0,120.0
