Crop,Province,Year,Volume_Production,Area_Planted_Harvested
Alugbati (Malabar spinach),Abra,2023,0.75,0.92
Alugbati (Malabar spinach),Abra,2024,0.51,1
Alugbati (Malabar spinach),Agusan del Norte,2010,48.65,12
Alugbati (Malabar spinach),Agusan del Norte,2011,45.85,10
Alugbati (Malabar spinach),Agusan del Norte,2012,42,9.5
Alugbati (Malabar spinach),Agusan del Norte,2013,48.74,9.75
Alugbati (Malabar spinach),Agusan del Norte,2014,51.94,10
Alugbati (Malabar spinach),Agusan del Norte,2015,46.7,9.5
Alugbati (Malabar spinach),Agusan del Norte,2016,46.5,7
Alugbati (Malabar spinach),Agusan del Norte,2017,48.86,7
Alugbati (Malabar spinach),Agusan del Norte,2018,52.65,7.5
Alugbati (Malabar spinach),Agusan del Norte,2019,55.85,7.1
Alugbati (Malabar spinach),Agusan del Norte,2020,61.5,7.1
Alugbati (Malabar spinach),Agusan del Norte,2021,67.95,7.1
Alugbati (Malabar spinach),Agusan del Norte,2022,69.7,7.2
Alugbati (Malabar spinach),Agusan del Norte,2023,76.89,7.3
Alugbati (Malabar spinach),Agusan del Norte,2024,73.76,7.1
Alugbati (Malabar spinach),Agusan del Sur,2010,65.1,30
Alugbati (Malabar spinach),Agusan del Sur,2011,60.55,30
Alugbati (Malabar spinach),Agusan del Sur,2012,62.66,32
Alugbati (Malabar spinach),Agusan del Sur,2013,66.67,32
Alugbati (Malabar spinach),Agusan del Sur,2014,69.49,32
Alugbati (Malabar spinach),Agusan del Sur,2015,78.49,33
Alugbati (Malabar spinach),Agusan del Sur,2016,112.8,34
Alugbati (Malabar spinach),Agusan del Sur,2017,117.75,33
Alugbati (Malabar spinach),Agusan del Sur,2018,117.18,31
Alugbati (Malabar spinach),Agusan del Sur,2019,126.98,32.25
Alugbati (Malabar spinach),Agusan del Sur,2020,131.55,32.25
Alugbati (Malabar spinach),Agusan del Sur,2021,136.17,32
Alugbati (Malabar spinach),Agusan del Sur,2022,136.21,32
Alugbati (Malabar spinach),Agusan del Sur,2023,149.04,15.02
Alugbati (Malabar spinach),Agusan del Sur,2024,142.01,15.04
Alugbati (Malabar spinach),Aklan,2010,1973.89,29.7
Alugbati (Malabar spinach),Aklan,2011,1970.34,28.7
Alugbati (Malabar spinach),Aklan,2012,1951.96,28.49
