"Common Name","Soil Requirement"
"Coconut","Rich, alluvium, loam or lateritic loamy soils are best suited; tolerates a certain degree of alkalinity so it is found along coastal strips; moving water table is favorable, while stagnant water as well as heavy clay should be avoided; requires high light intensity. Needs uniform rainfall and away from typhoon belts."
"Coffee","Deep, well-drained loam rich in nutrients especially potash with good amount of humus is best. It needs shade trees or grass or organic litter as mulch to cover ground is desirable to protect the physical structure of the soil and nutrients from rain. It grows best in rolling sloping, well-drained lands of volcanic origin rich in organic matter."
"Corn","Deep, not too heavy well-drained loam is best. Good crop is produced on alluvial and virgin soils. Light sandy, gravely soils and heavy clays do not conduce a healthy root development. Corn has a very exhausting effect on nutrients in the soil."
"Cotton","Deep, porous, aerated medium loams are most suitable."
"Cowpea","It grows on all soils except extremes of sandy and clay soils. Top soil must have good water holding capacity. It is very sensitive to acid soils."
"Cucumber","Grows from sandy loam to heavy clay. For heavy yields, a well-drained clay loam or silt loam soil should be used. Grows from sea level to medium altitudes."
"Eggplant","Well-drained loamy or alluvial soils rich in organic matter are best although it grows on heavy and light soils."
"Forest Trees In General","Fertile, well-drained sandy loam and clay loam soils; if not fertile, it should be well fertilized. Light to heavy textured soils depending upon species, on rolling or level areas with good drainage."
"Gabi","Fertile, sandy loam soil, with sufficient amount of water during growing period."
"Garlic","Fertile, well-drained loamy soils."
"Ginger","Prefers light but rich loose soils with good drainage. Heavy soils give reduced yield."
"Grape","Prefers mellow, humus and calcium rich soils well-aerated down to sub-soils; some varieties are sensitive to excessive calcium content; bulk of roots are found at 1 to 2 feet deep."
"Grass (Bermuda, Carpet, Pasture)","Light to medium-textured soils are best."
"Guayabano","Soils of light to medium in texture."
"Guava","Light to medium-textured soils with good drainage. Calcareous sandy loam soils, well-drained, are preferable."
"Green Manures Legumes","Light to medium-textured soils which are well-drained."
"Jackfruit","Deep loam or sandy loam soils."
"Jute","Loam or sandy loam fertile, friable well-drained soils with good water-holding capacity."
"Kudzu","Flourishes on acid soils deficient in calcium although best yields are obtained in neighborhood of neutrality; it is good for restoring crumb structure of eroded soils."
"Kulitis (Spinach)","Flourishes best in rich, deep loamy soils with good drainage."
"Lanzones","Light sandy to medium-textured soils with good internal drainage. Thrives best in neighborhood of neutral pH zone."
"Lemon","Light sandy to medium-textured soils with good internal drainage. Thrives best in neighborhood of neutral pH zone."
"Lettuce","Sandy loam, clay loam, silt loam well-supplied with organic matter, well-drained but retentive of moisture."
